comparator,outcome,analysis,adjustment,ptime_covid,num_events_covid,rate_covid,ptime_comparator,num_events_comparator,rate_comparator,hr,lc,uc
pneumonia,heart_failure,heart_failure_cens_gp,crude,7785793,5152,.00066171808,17501074,18566,.0010608492,.56626207,.54902846,.58403659
pneumonia,heart_failure,heart_failure_cens_gp,age_sex,7785793,5152,.00066171808,17501074,18566,.0010608492,.78632832,.75300026,.82113159
pneumonia,heart_failure,heart_failure_cens_gp,full,7785793,5152,.00066171808,17501074,18566,.0010608492,.85618711,.81814533,.89599764
pneumonia,mi,mi,crude,8160839,707,.000086633248,19200108,2307,.00012015557,.64370769,.59166986,.70032227
pneumonia,mi,mi,age_sex,8160839,707,.000086633248,19200108,2307,.00012015557,.85824788,.76620829,.96134359
pneumonia,mi,mi,full,8160839,707,.000086633248,19200108,2307,.00012015557,.89823389,.79701048,1.012313
pneumonia,mi,mi_no_gp,crude,8180195,533,.000065157372,19267972,1853,.000096169962,.62152475,.56444567,.68437594
pneumonia,mi,mi_no_gp,age_sex,8180195,533,.000065157372,19267972,1853,.000096169962,.83033025,.72793847,.94712454
pneumonia,mi,mi_no_gp,full,8180195,533,.000065157372,19267972,1853,.000096169962,.85492885,.74409497,.98227155
pneumonia,mi,mi_cens_gp,crude,8173663,593,.000072550094,19252628,1985,.00010310282,.6467067,.59003299,.70882398
pneumonia,mi,mi_cens_gp,age_sex,8173663,593,.000072550094,19252628,1985,.00010310282,.87399685,.77095163,.9908151
pneumonia,mi,mi_cens_gp,full,8173663,593,.000072550094,19252628,1985,.00010310282,.89974266,.78822166,1.0270422
pneumonia,aki,aki,crude,7736033,4669,.00060353929,17934084,12933,.00072114082,.76087356,.73586506,.78673196
pneumonia,aki,aki,age_sex,7736033,4669,.00060353929,17934084,12933,.00072114082,.94086725,.8998155,.98379183
pneumonia,aki,aki,full,7736033,4669,.00060353929,17934084,12933,.00072114082,.98841465,.94248426,1.0365833
pneumonia,aki,aki_no_gp,crude,7761042,4456,.00057414972,18000306,12465,.00069248822,.75748295,.73204523,.7838046
pneumonia,aki,aki_no_gp,age_sex,7761042,4456,.00057414972,18000306,12465,.00069248822,.93656081,.89475822,.98031634
pneumonia,aki,aki_no_gp,full,7761042,4456,.00057414972,18000306,12465,.00069248822,.98243982,.93577683,1.0314296
pneumonia,aki,aki_cens_gp,crude,7753815,4522,.00058319682,17981488,12631,.00070244458,.75847477,.73318022,.78464198
pneumonia,aki,aki_cens_gp,age_sex,7753815,4522,.00058319682,17981488,12631,.00070244458,.93949765,.89787966,.98304462
pneumonia,aki,aki_cens_gp,full,7753815,4522,.00058319682,17981488,12631,.00070244458,.98674786,.94022352,1.0355743
pneumonia,t2dm,t2dm,crude,5543592,670,.00012086026,13564007,1360,.00010026536,1.1252154,1.0256817,1.234408
pneumonia,t2dm,t2dm,age_sex,5543592,670,.00012086026,13564007,1360,.00010026536,1.4284769,1.2813219,1.5925323
pneumonia,t2dm,t2dm,full,5543592,670,.00012086026,13564007,1360,.00010026536,1.2940454,1.1462938,1.4608415
gen_population,stroke,stroke,crude,8132098,1300,.00015986034,137261488,3997,.000029119601,4.7535281,4.4687624,5.0564399
gen_population,stroke,stroke,age_sex,8132098,1300,.00015986034,137261488,3997,.000029119601,5.1548033,4.8448515,5.4845843
gen_population,stroke,stroke,full,8132098,1300,.00015986034,137261488,3997,.000029119601,3.5108194,3.265696,3.7743418
gen_population,stroke,stroke_no_gp,crude,8166199,1009,.0001235581,137399168,3238,.000023566374,4.6698604,4.3545237,5.0080318
gen_population,stroke,stroke_no_gp,age_sex,8166199,1009,.0001235581,137399168,3238,.000023566374,5.1068363,4.7605667,5.4782929
gen_population,stroke,stroke_no_gp,full,8166199,1009,.0001235581,137399168,3238,.000023566374,3.4293385,3.1606612,3.7208552
gen_population,stroke,stroke_cens_gp,crude,8152632,1128,.00013836022,137279952,3938,.000028685907,4.3361559,4.0609946,4.629961
gen_population,stroke,stroke_cens_gp,age_sex,8152632,1128,.00013836022,137279952,3938,.000028685907,4.7257185,4.4244814,5.0474648
gen_population,stroke,stroke_cens_gp,full,8152632,1128,.00013836022,137279952,3938,.000028685907,3.2005677,2.965631,3.4541159
gen_population,dvt,dvt,crude,8149761,587,.000072026654,137519216,1384,.000010064048,6.120615,5.5613542,6.7361159
gen_population,dvt,dvt,age_sex,8149761,587,.000072026654,137519216,1384,.000010064048,6.4062462,5.8232346,7.0476284
gen_population,dvt,dvt,full,8149761,587,.000072026654,137519216,1384,.000010064048,4.565444,4.0538602,5.1415882
