outcome,pop,numEvents,numDeaths,propEvents,propDeaths
stroke,77448,0,0,.,
dvt,77448,0,0,.,
pe,77448,0,0,.,
heart_failure,77448,0,0,.,
mi,77448,0,0,.,
aki,77448,0,0,.,
t1dm,77448,0,0,.,
t2dm,77448,0,0,.,
