comparison,outcome,analysis,adjustment,variable,category,rate_ppm_covid,rate_ppm_control_2020,hr,lc,uc
control_2020,pe,in_hosp,age_sex,History of pe,0,69.949173,,1,,
control_2020,pe,in_hosp,age_sex,History of pe,1,61.465866,,1,,
control_2020,pe,in_hosp,full,Overall,0,69.557083,,1,,
control_2020,pe,in_hosp,full,History of pe,0,69.949173,,1,,
control_2020,pe,in_hosp,full,History of pe,1,61.465866,,1,,
control_2020,pe,post_hosp,crude,Overall,0,2.5662844,.13993177,17.827923,13.976502,22.740656
control_2020,pe,post_hosp,crude,History of pe,0,2.1651199,.12576716,16.763121,12.918353,21.752169
control_2020,pe,post_hosp,crude,History of pe,1,12.280328,2.8593237,4.0623407,2.0014019,8.2455263
control_2020,pe,post_hosp,age_sex,Overall,0,2.5662844,.13993177,18.106546,14.19381,23.097887
control_2020,pe,post_hosp,age_sex,History of pe,0,2.1651199,.12576716,17.035454,13.12697,22.107668
control_2020,pe,post_hosp,age_sex,History of pe,1,12.280328,2.8593237,4.7395654,2.3151913,9.7026463
control_2020,pe,post_hosp,full,Overall,0,2.5662844,.13993177,16.167711,12.134263,21.541885
control_2020,pe,post_hosp,full,History of pe,0,2.1651199,.12576716,15.292165,11.206448,20.867477
control_2020,pe,post_hosp,full,History of pe,1,12.280328,2.8593237,4.3121405,1.9748541,9.4156599
control_2020,pe,post_hosp_gp,crude,Overall,0,3.1619632,.13993177,21.967554,17.315973,27.868683
control_2020,pe,post_hosp_gp,crude,History of pe,0,2.6763265,.12576716,20.730675,16.078283,26.729275
control_2020,pe,post_hosp_gp,crude,History of pe,1,14.999237,2.8593237,4.9390068,2.4558139,9.9330778
control_2020,pe,post_hosp_gp,age_sex,Overall,0,3.1619632,.13993177,22.229671,17.52145,28.203045
control_2020,pe,post_hosp_gp,age_sex,History of pe,0,2.6763265,.12576716,20.963692,16.257669,27.03194
control_2020,pe,post_hosp_gp,age_sex,History of pe,1,14.999237,2.8593237,5.6436696,2.7853787,11.435072
control_2020,pe,post_hosp_gp,full,Overall,0,3.1619632,.13993177,20.870848,15.786299,27.593058
control_2020,pe,post_hosp_gp,full,History of pe,0,2.6763265,.12576716,19.986139,14.785333,27.016354
control_2020,pe,post_hosp_gp,full,History of pe,1,14.999237,2.8593237,5.2246442,2.4286292,11.239636
